scenario,drawn_gain_error,drawn_offset_A,Vth_single_raw_V,Vth_mean25_raw_V,Vth_single_calibrated_V,Vth_mean25_calibrated_V,clipped_calibration_readings,clipped_sweep_readings
1,-0.000428280390751816,1.0333713909006e-05,1.18902782694214,1.18859937584456,1.20009076961537,1.19965468576694,0,0
2,-0.00906539898676743,3.29451610829703e-07,1.19779618247199,1.19958838702946,1.19829687465155,1.20008843311131,0,0
3,-0.00505364801619994,-1.53070636080621e-05,1.2166882119805,1.21691868015617,1.1998708885034,1.20010002916581,0,0
4,-0.00419898434667077,1.06731345835561e-06,1.20086793366711,1.19874043030003,1.20269292827564,1.20056516965357,0,0
5,-0.00613346353238883,1.90384820518901e-05,1.17844018369882,1.17925169714278,1.19864996131042,1.19946576895949,0,0
6,-0.000140118466848456,1.5410399592318e-05,1.18349368057184,1.18345374099071,1.19962872846988,1.19960095274416,0,0
7,0.00677897839547232,3.09639923020346e-06,1.1977044523664,1.19708310555213,1.19999955824531,1.19937866205067,0,0
8,-0.00607972548571034,1.80056765833145e-05,1.18293084040195,1.18078961754359,1.20282574754446,1.2006723112372,0,0
9,0.00969687801439676,-1.19142657873392e-05,1.21347199927586,1.21271820156905,1.19970872935445,1.19894261117767,0,0
10,0.00712830038771424,-1.00824455589371e-05,1.21110244446462,1.21131077190916,1.19928057369445,1.19947717339453,0,0
11,-0.00902049808247276,1.15538384355343e-05,1.18655766675005,1.18754002820424,1.19970583748446,1.20068349553203,0,0
12,0.00335979053787965,1.83578523397902e-05,1.18298578900336,1.18039107149025,1.20234130081899,1.19975234189199,0,0
13,0.000328228314562986,1.15453262649147e-05,1.18333363198675,1.18713824067775,1.19618458174564,1.19999346583861,0,0
14,0.00396487546846174,7.51328774566984e-06,1.19380264533438,1.19200685550162,1.20021195217982,1.19841598055047,0,0
15,-0.00657057800677511,2.64922356823601e-06,1.20004070602276,1.19728703361968,1.20186837517548,1.1991151108844,0,0
16,-0.00087196767500346,1.60697090375103e-05,1.18231788292438,1.18276801296713,1.19964132526018,1.20008352247025,0,0
17,0.00463638724056398,-1.00312159757351e-05,1.2102769915229,1.21097715940621,1.1994007364074,1.20010188906596,0,0
18,-0.000765848572434489,-1.68881000136085e-05,1.21434795751466,1.2185153266824,1.19591655660445,1.20010234064652,0,0
19,-0.00779200029042913,-1.08088388173716e-05,1.21106486757597,1.21245623679108,1.1977251413408,1.1991121729563,0,0
20,-0.00595671693000022,-5.77555288321564e-06,1.20687997324511,1.20631231195188,1.20006129295499,1.19949097238644,0,0
21,-0.00658887669985908,9.5814650351855e-06,1.189547427162,1.18926666751822,1.2008520527773,1.20055869873158,0,0
22,0.0096694897870282,-1.39168593725093e-05,1.21751280109114,1.21472804029426,1.20260357608472,1.19979678843286,0,0
23,0.00266034792256091,-1.96545302360069e-05,1.22061641886176,1.22109717443006,1.19862628169766,1.19910183954243,0,0
24,0.00235977806145509,-1.35958646193435e-05,1.21334149359267,1.21494922069538,1.19812788449977,1.19974613279966,0,0
25,-0.00918912702797242,-1.99459505188777e-05,1.22058802480233,1.22170675444811,1.20001080694271,1.20111202597723,0,0
26,-0.00467428448682861,1.78113557969812e-05,1.18237168220565,1.18096547363055,1.20356007941491,1.20214758162588,0,0
27,-0.00706498586258363,-1.30306230686161e-05,1.21553850039256,1.21341541925504,1.20152179943337,1.19939977481499,0,0
28,0.00438831367697327,8.06101114363116e-06,1.19103992261969,1.19160906329323,1.19992320491202,1.20047951992185,0,0
29,0.00497682302473051,7.60402886912699e-07,1.19980109385021,1.19912174864775,1.20078824541664,1.20010830954154,0,0
30,0.00977034882657008,7.42088408545049e-06,1.19161471998166,1.19222643506766,1.20012018739082,1.20072231509615,0,0
31,-0.00937150307491739,-4.25482313534366e-06,1.20485353455763,1.20459722129268,1.20018223418739,1.19992370244657,0,0
32,-0.00317719867293962,2.31449616379638e-06,1.19556395229569,1.19765467273183,1.19755166084064,1.19964259679726,0,0
33,0.00809586691829963,1.51851828939224e-05,1.18380727925971,1.18394142261874,1.19918564994998,1.19929711464689,0,0
34,0.00978212311058577,-1.17697120759993e-06,1.20051003967013,1.2013294674429,1.1992008836021,1.20002033888043,0,0
35,-0.00483764820174035,1.09390693762681e-05,1.19035600308632,1.18836163869576,1.20061794155238,1.19863398675407,0,0
36,0.0064553919252154,-9.61500617398304e-06,1.21007794697481,1.21056809767924,1.19838826960082,1.1988924005652,0,0
37,0.00716879525017527,9.23194369522022e-06,1.19243301369183,1.19016246809205,1.20143907466892,1.19917145224178,0,0
38,0.00216508506275601,-1.69060441892238e-05,1.21912487695293,1.21822408384879,1.20142901179785,1.20052123669318,0,0
39,-0.00707431381870615,-1.08847727039925e-05,1.21328225693695,1.21229256645792,1.20194783297062,1.20095258850872,0,0
40,0.00246588108177543,-2.66802908349874e-06,1.20098256769682,1.20272900355935,1.19818008365039,1.19992527434797,0,0
41,0.00467215242088758,1.40422886269902e-06,1.20016769920116,1.19865927761989,1.20131863327335,1.19981017021683,0,0
42,0.00106734351786368,-1.80016639510989e-05,1.21885970891493,1.21930781174156,1.19848423022981,1.19893656506006,0,0
43,0.00146044186899494,-6.42895462807217e-06,1.20684866625249,1.20737368634435,1.20057625198047,1.20109588152944,0,0
44,-0.000725855810812932,1.62596438570948e-06,1.19900981650318,1.19830670868121,1.20099162303027,1.20029031854445,0,0
45,-0.00193487922761368,-4.52767946974037e-06,1.20727791660368,1.20499399195576,1.20297235022798,1.20068608803799,0,0
46,-0.00811841963453626,6.33938758118929e-06,1.19579227894914,1.1929304641203,1.20444107161637,1.20158293706461,0,0
