VDS_V,I_model_VGS_1.0V_A,I_model_VGS_1.5V_A,I_model_VGS_2.0V_A,I_model_VGS_2.5V_A,I_model_VGS_3.0V_A,I_model_VGS_3.5V_A
0,0,0,0,0,0,0
0.025,0,1.43821875e-05,3.93946875e-05,6.44071875e-05,8.94196875e-05,0.0001144321875
0.05,0,2.75275e-05,7.75775e-05,0.0001276275,0.0001776775,0.0002277275
0.075,0,3.94340625e-05,0.0001145465625,0.0001896590625,0.0002647715625,0.0003398840625
0.1,0,5.01e-05,0.0001503,0.0002505,0.0003507,0.0004509
0.125,0,5.95234375e-05,0.0001848359375,0.0003101484375,0.0004354609375,0.0005607734375
0.15,0,6.77025e-05,0.0002181525,0.0003686025,0.0005190525,0.0006695025
0.175,0,7.46353125e-05,0.0002502478125,0.0004258603125,0.0006014728125,0.0007770853125
0.2,0,8.032e-05,0.00028112,0.00048192,0.00068272,0.00088352
0.225,0,8.47546875e-05,0.0003107671875,0.0005367796875,0.0007627921875,0.0009888046875
0.25,0,8.79375e-05,0.0003391875,0.0005904375,0.0008416875,0.0010929375
0.275,0,8.98665625e-05,0.0003663790625,0.0006428915625,0.0009194040625,0.0011959165625
0.3,0,9.054e-05,0.00039234,0.00069414,0.00099594,0.00129774
0.325,0,9.0585e-05,0.0004170684375,0.0007441809375,0.0010712934375,0.0013984059375
0.35,0,9.063e-05,0.0004405625,0.0007930125,0.0011454625,0.0014979125
0.375,0,9.0675e-05,0.0004628203125,0.0008406328125,0.0012184453125,0.0015962578125
0.4,0,9.072e-05,0.00048384,0.00088704,0.00129024,0.00169344
0.425,0,9.0765e-05,0.0005036196875,0.0009322321875,0.0013608446875,0.0017894571875
0.45,0,9.081e-05,0.0005221575,0.0009762075,0.0014302575,0.0018843075
0.475,0,9.0855e-05,0.0005394515625,0.0010189640625,0.0014984765625,0.0019779890625
0.5,0,9.09e-05,0.0005555,0.0010605,0.0015655,0.0020705
0.525,0,9.0945e-05,0.0005703009375,0.0011008134375,0.0016313259375,0.0021618384375
