VGS_V,reading_01_A,reading_02_A,reading_03_A,reading_04_A,reading_05_A,reading_06_A,reading_07_A,reading_08_A,reading_09_A,reading_10_A,reading_11_A,reading_12_A,reading_13_A,reading_14_A,reading_15_A,reading_16_A,reading_17_A,reading_18_A,reading_19_A,reading_20_A,reading_21_A,reading_22_A,reading_23_A,reading_24_A,reading_25_A
0,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05
0.02,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,9.765625e-06,9.765625e-06,9.765625e-06,1.46484375e-05,4.8828125e-06,1.953125e-05,1.953125e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.953125e-05,2.44140625e-05
0.04,9.765625e-06,1.953125e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.953125e-05,1.953125e-05,1.46484375e-05,4.8828125e-06,1.953125e-05,1.953125e-05,1.953125e-05,9.765625e-06,1.953125e-05,1.953125e-05
0.06,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,4.8828125e-06,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,2.44140625e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,4.8828125e-06,1.953125e-05,4.8828125e-06,9.765625e-06,1.46484375e-05,1.953125e-05
0.08,9.765625e-06,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.953125e-05,9.765625e-06,9.765625e-06,9.765625e-06,1.953125e-05,1.953125e-05,9.765625e-06,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,4.8828125e-06,2.44140625e-05,9.765625e-06,1.46484375e-05
0.1,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.953125e-05,2.44140625e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,9.765625e-06,1.953125e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05
0.12,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.953125e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,9.765625e-06,9.765625e-06,9.765625e-06,9.765625e-06,1.953125e-05,1.953125e-05,1.953125e-05,9.765625e-06,1.46484375e-05,9.765625e-06,1.953125e-05
0.14,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,9.765625e-06,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,9.765625e-06
0.16,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,9.765625e-06,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,9.765625e-06,1.953125e-05,9.765625e-06,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05
0.18,9.765625e-06,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.46484375e-05,1.953125e-05,1.953125e-05,1.46484375e-05,1.953125e-05,1.46484375e-05,1.46484375e-05,9.765625e-06,1.953125e-05,1.953125e-05,1.46484375e-05,9.765625e-06,1.46484375e-05
