VGS_V,I_model_A,I_synthetic_raw_mean_A,I_synthetic_corrected_A,gm_model_numeric_S,gm_synthetic_raw_S,gm_synthetic_corrected_S
0,0,1.40625e-05,-1.48944221600007e-06,0,5.85937499999998e-05,5.8124574282903e-05
0.02,0,1.5234375e-05,-3.26950730342009e-07,0,3.90624999999999e-05,3.8749716188602e-05
0.04,0,1.5625e-05,6.0546431544012e-08,0,-2.9296875e-05,-2.90622871414516e-05
0.06,0,1.40625e-05,-1.48944221600007e-06,0,-2.44140625e-05,-2.42185726178763e-05
0.08,0,1.46484375e-05,-9.08196473171041e-07,0,2.9296875e-05,2.90622871414516e-05
0.1,0,1.5234375e-05,-3.26950730342009e-07,0,1.46484375e-05,1.45311435707258e-05
0.12,0,1.5234375e-05,-3.26950730342009e-07,0,-9.76562499999994e-06,-9.68742904715047e-06
0.14,0,1.484375e-05,-7.14447892228028e-07,0,-2.44140625e-05,-2.42185726178763e-05
0.16,0,1.42578125e-05,-1.29569363505706e-06,0,1.46484375e-05,1.45311435707258e-05
0.18,0,1.54296875e-05,-1.33202149398998e-07,0,3.90625e-05,3.87497161886021e-05
0.2,0,1.58203125e-05,2.54295012487025e-07,0,-1.46484374999999e-05,-1.45311435707257e-05
0.22,0,1.484375e-05,-7.14447892228026e-07,0,-2.44140625e-05,-2.42185726178763e-05
0.24,0,1.484375e-05,-7.14447892228029e-07,0,2.92968749999999e-05,2.90622871414515e-05
0.26,0,1.6015625e-05,4.48043593430034e-07,0,-2.44140625e-05,-2.42185726178764e-05
0.28,0,1.38671875e-05,-1.68319079694308e-06,0,-3.90625e-05,-3.87497161886022e-05
0.3,0,1.4453125e-05,-1.10194505411405e-06,0,3.41796875e-05,3.39060016650268e-05
0.32,0,1.5234375e-05,-3.26950730342009e-07,0,-9.76562500000003e-06,-9.68742904715056e-06
0.34,0,1.40625e-05,-1.48944221600007e-06,0,4.88281250000002e-06,4.84371452357528e-06
0.36,0,1.54296875e-05,-1.33202149398998e-07,0,-4.88281249999992e-06,-4.84371452357519e-06
0.38,0,1.38671875e-05,-1.68319079694308e-06,0,0,0
0.4,0,1.54296875e-05,-1.33202149398998e-07,0,1.46484375e-05,1.45311435707258e-05
0.42,0,1.4453125e-05,-1.10194505411405e-06,0,-9.76562500000006e-06,-9.68742904715059e-06
0.44,0,1.50390625e-05,-5.20699311285022e-07,0,1.953125e-05,1.93748580943011e-05
0.46,0,1.5234375e-05,-3.26950730342009e-07,0,6.83593750000002e-05,6.78120033300539e-05
0.48,0,1.77734375e-05,2.19178082191713e-06,0,-4.88281250000001e-06,-4.84371452357528e-06
0.5,0,1.50390625e-05,-5.2069931128502e-07,0,-5.85937500000001e-05,-5.81245742829033e-05
0.52,0,1.54296875e-05,-1.33202149399001e-07,0,9.76562500000002e-06,9.68742904715055e-06
0.54,0,1.54296875e-05,-1.33202149398998e-07,0,-2.9296875e-05,-2.90622871414516e-05
0.56,0,1.42578125e-05,-1.29569363505706e-06,0,-3.90625000000002e-05,-3.87497161886023e-05
0.58,0,1.38671875e-05,-1.68319079694309e-06,0,2.44140625e-05,2.42185726178763e-05
0.6,0,1.5234375e-05,-3.2695073034201e-07,0,2.44140625000001e-05,2.42185726178764e-05
0.62,0,1.484375e-05,-7.14447892228029e-07,0,-2.92968749999999e-05,-2.90622871414515e-05
0.64,0,1.40625e-05,-1.48944221600007e-06,0,-5.37109375e-05,-5.3280859759328e-05
0.66,0,1.26953125e-05,-2.84568228260115e-06,0,4.88281249999999e-05,4.84371452357526e-05
0.68,0,1.6015625e-05,4.48043593430034e-07,0,8.30078125000002e-05,8.23431469007798e-05
0.7,0,1.6015625e-05,4.48043593430034e-07,0,-4.88281249999998e-06,-4.84371452357525e-06
0.72,0,1.58203125e-05,2.54295012487025e-07,0,-1.46484375e-05,-1.45311435707258e-05
0.74,0,1.54296875e-05,-1.33202149398998e-07,0,-5.859375e-05,-5.81245742829032e-05
0.76,0,1.34765625e-05,-2.07068795882911e-06,0,4.88281249999997e-06,4.84371452357523e-06
0.78,0,1.5625e-05,6.0546431544012e-08,0,2.44140625e-05,2.42185726178763e-05
0.8,0,1.4453125e-05,-1.10194505411405e-06,0,-4.8828124999999e-06,-4.84371452357516e-06
0.82,0,1.54296875e-05,-1.33202149398994e-07,0,5.37109375000001e-05,5.3280859759328e-05
0.84,0,1.66015625e-05,1.02928933625907e-06,0,-3.41796875e-05,-3.39060016650269e-05
0.86,0,1.40625e-05,-1.48944221600007e-06,0,-5.37109375e-05,-5.32808597593279e-05
0.88,0,1.4453125e-05,-1.10194505411405e-06,0,5.859375e-05,5.81245742829032e-05
0.9,0,1.640625e-05,8.3554075531606e-07,0,4.88281250000009e-06,4.84371452357536e-06
0.92,0,1.46484375e-05,-9.08196473171037e-07,0,-5.37109375000002e-05,-5.32808597593281e-05
0.94,0,1.42578125e-05,-1.29569363505706e-06,0,-1.46484375000002e-05,-1.45311435707259e-05
0.96,0,1.40625e-05,-1.48944221600007e-06,0,9.76562499999993e-06,9.68742904715047e-06
0.98,0,1.46484375e-05,-9.08196473171041e-07,0,5.859375e-05,5.81245742829032e-05
1,0,1.640625e-05,8.35540755316057e-07,0,2.44140625e-05,2.42185726178764e-05
1.02,0,1.5625e-05,6.05464315440153e-08,0,-9.76562500000002e-06,-9.68742904715055e-06
1.04,0,1.6015625e-05,4.48043593430034e-07,0,4.88281249999997e-06,4.84371452357523e-06
1.06,0,1.58203125e-05,2.54295012487025e-07,0,-2.44140625e-05,-2.42185726178763e-05
1.08,0,1.50390625e-05,-5.2069931128502e-07,0,-4.88281250000005e-06,-4.84371452357532e-06
1.1,0,1.5625e-05,6.0546431544012e-08,0,1.46484375e-05,1.45311435707258e-05
1.12,0,1.5625e-05,6.0546431544012e-08,0,-4.88281250000002e-05,-4.84371452357528e-05
1.14,0,1.3671875e-05,-1.87693937788609e-06,0,-4.88281250000002e-05,-4.84371452357529e-05
1.16,0,1.3671875e-05,-1.87693937788609e-06,0,1.953125e-05,1.93748580943011e-05
1.18,0,1.4453125e-05,-1.10194505411405e-06,0,4.88281250000005e-06,4.84371452357532e-06
1.2,0,1.38671875e-05,-1.68319079694308e-06,1.06e-05,3.90624999999999e-05,3.87497161886021e-05
1.22,4.24000000000001e-07,1.6015625e-05,4.48043593430034e-07,4.24e-05,2.92968749999999e-05,2.90622871414515e-05
1.24,1.696e-06,1.50390625e-05,-5.20699311285022e-07,8.48000000000001e-05,5.37109375e-05,5.32808597593279e-05
1.26,3.81600000000001e-06,1.81640625e-05,2.57927798380315e-06,0.0001272,0.00017578125,0.00017437372284871
1.28,6.78400000000001e-06,2.20703125e-05,6.45424960266337e-06,0.0001696,0.0002197265625,0.000217967153560887
1.3,1.06e-05,2.6953125e-05,1.12979641262386e-05,0.000212,0.000234375,0.000232498297131613
1.32,1.5264e-05,3.14453125e-05,1.57541814879279e-05,0.0002544,0.00017578125,0.000174373722848709
1.34,2.0776e-05,3.3984375e-05,1.8272913040187e-05,0.0002968,0.000268554687499999,0.000266404298796639
1.36,2.7136e-05,4.21875e-05,2.64103534397935e-05,0.0003392,0.0003662109375,0.000363278589268145
1.38,3.43440000000001e-05,4.86328125e-05,3.28040566109128e-05,0.000381600000000002,0.000366210937500002,0.000363278589268147
1.4,4.24000000000001e-05,5.68359375e-05,4.09414970105193e-05,0.000424,0.000424804687500002,0.00042140316355105
1.42,5.1304e-05,6.5625e-05,4.96601831529548e-05,0.000466399999999998,0.000493164062499999,0.000489215166881101
1.44,6.1056e-05,7.65625e-05,6.05101036857634e-05,0.0005088,0.000537109374999999,0.000532808597593279
1.46,7.1656e-05,8.7109375e-05,7.09725270566859e-05,0.0005512,0.000595703125,0.000590933171876182
1.48,8.3104e-05,0.000100390625,8.41474305608107e-05,0.0005936,0.0006103515625,0.000605464315446909
1.5,9.54e-05,0.0001115234375,9.51910996745623e-05,0.000636000000000001,0.000585937499999998,0.00058124574282903
1.52,0.000108544,0.000123828125,0.000107397260273972,0.0006784,0.000693359374999999,0.000687807462347686
1.54,0.000122536,0.0001392578125,0.00012270339816847,0.0007208,0.0007177734375,0.000712026034965564
1.56,0.000137376,0.0001525390625,0.000135878301672594,0.0007632,0.000722656249999999,0.000716869749489138
1.58,0.000153064,0.0001681640625,0.000151378188148035,0.0008056,0.000849609375,0.000842806327102096
1.6,0.0001696,0.0001865234375,0.000169590554756678,0.000848,0.000903320312499999,0.000896087186861423
1.62,0.000186984,0.000204296875,0.000187221675622492,0.0008904,0.000854492187500001,0.000847650041625672
1.64,0.000205216,0.000220703125,0.000203496556421705,0.000932800000000006,0.000874023437500007,0.000867024899719979
1.66,0.000224296,0.0002392578125,0.000221902671611291,0.000975200000000001,0.001015625,0.00100749262090366
1.68,0.000244224,0.000261328125,0.000243796261257851,0.00101759999999999,0.00109375,0.00108499205328086
1.7,0.000265,0.0002830078125,0.000265302353742526,0.00106,0.0010595703125,0.00105108605161583
1.72,0.000286624,0.0003037109375,0.000285839703322485,0.0011024,0.0010693359375,0.00106077348066298
