 v-sweep                v(g)                   v(d)                   idrain                
 0.000000000000000e+00  3.500000000000000e+00  0.000000000000000e+00 -0.000000000000000e+00 
 2.500000000000000e-02  3.500000000000000e+00  2.500000000000000e-02  1.144321875311961e-04 
 5.000000000000000e-02  3.500000000000000e+00  5.000000000000000e-02  2.277275000585530e-04 
 7.500000000000001e-02  3.500000000000000e+00  7.500000000000001e-02  3.398840625844497e-04 
 1.000000000000000e-01  3.500000000000000e+00  1.000000000000000e-01  4.509000001100001e-04 
 1.250000000000000e-01  3.500000000000000e+00  1.250000000000000e-01  5.607734376349999e-04 
 1.500000000000000e-01  3.500000000000000e+00  1.500000000000000e-01  6.695025001599999e-04 
 1.750000000000000e-01  3.500000000000000e+00  1.750000000000000e-01  7.770853126850002e-04 
 2.000000000000000e-01  3.500000000000000e+00  2.000000000000000e-01  8.835200002099999e-04 
 2.250000000000000e-01  3.500000000000000e+00  2.250000000000000e-01  9.888046877349998e-04 
 2.500000000000000e-01  3.500000000000000e+00  2.500000000000000e-01  1.092937500260000e-03 
 2.750000000000000e-01  3.500000000000000e+00  2.750000000000000e-01  1.195916562785000e-03 
 3.000000000000000e-01  3.500000000000000e+00  3.000000000000000e-01  1.297740000310000e-03 
 3.250000000000000e-01  3.500000000000000e+00  3.250000000000000e-01  1.398405937835000e-03 
 3.500000000000000e-01  3.500000000000000e+00  3.500000000000000e-01  1.497912500360000e-03 
 3.750000000000001e-01  3.500000000000000e+00  3.750000000000001e-01  1.596257812885000e-03 
 4.000000000000001e-01  3.500000000000000e+00  4.000000000000001e-01  1.693440000410000e-03 
 4.250000000000001e-01  3.500000000000000e+00  4.250000000000001e-01  1.789457187935000e-03 
 4.500000000000001e-01  3.500000000000000e+00  4.500000000000001e-01  1.884307500460000e-03 
 4.750000000000001e-01  3.500000000000000e+00  4.750000000000001e-01  1.977989062985000e-03 
 5.000000000000001e-01  3.500000000000000e+00  5.000000000000001e-01  2.070500000510000e-03 
 5.250000000000001e-01  3.500000000000000e+00  5.250000000000001e-01  2.161838438035000e-03 
 5.500000000000002e-01  3.500000000000000e+00  5.500000000000002e-01  2.252002500560000e-03 
 5.750000000000002e-01  3.500000000000000e+00  5.750000000000002e-01  2.340990313085000e-03 
 6.000000000000002e-01  3.500000000000000e+00  6.000000000000002e-01  2.428800000610000e-03 
 6.250000000000002e-01  3.500000000000000e+00  6.250000000000002e-01  2.515429688135000e-03 
 6.500000000000002e-01  3.500000000000000e+00  6.500000000000002e-01  2.600877500660001e-03 
 6.750000000000003e-01  3.500000000000000e+00  6.750000000000003e-01  2.685141563185000e-03 
 7.000000000000003e-01  3.500000000000000e+00  7.000000000000003e-01  2.768220000710001e-03 
 7.250000000000003e-01  3.500000000000000e+00  7.250000000000003e-01  2.850110938235000e-03 
 7.500000000000003e-01  3.500000000000000e+00  7.500000000000003e-01  2.930812500760000e-03 
 7.750000000000004e-01  3.500000000000000e+00  7.750000000000004e-01  3.010322813285001e-03 
 8.000000000000004e-01  3.500000000000000e+00  8.000000000000004e-01  3.088640000810001e-03 
 8.250000000000004e-01  3.500000000000000e+00  8.250000000000004e-01  3.165762188335001e-03 
