 v-sweep                v(g)                   v(d)                   idrain                
 0.000000000000000e+00  0.000000000000000e+00  2.000000000000000e-01  2.100000000000000e-13 
 2.000000000000000e-02  2.000000000000000e-02  2.000000000000000e-01  2.100000000000000e-13 
 4.000000000000000e-02  4.000000000000000e-02  2.000000000000000e-01  2.100000000000000e-13 
 6.000000000000000e-02  6.000000000000000e-02  2.000000000000000e-01  2.100000000000000e-13 
 8.000000000000000e-02  8.000000000000000e-02  2.000000000000000e-01  2.100000000000000e-13 
 1.000000000000000e-01  1.000000000000000e-01  2.000000000000000e-01  2.100000000000000e-13 
 1.200000000000000e-01  1.200000000000000e-01  2.000000000000000e-01  2.100000000000000e-13 
 1.400000000000000e-01  1.400000000000000e-01  2.000000000000000e-01  2.100000000000000e-13 
 1.600000000000000e-01  1.600000000000000e-01  2.000000000000000e-01  2.100000000000000e-13 
 1.800000000000000e-01  1.800000000000000e-01  2.000000000000000e-01  2.100000000000000e-13 
 2.000000000000000e-01  2.000000000000000e-01  2.000000000000000e-01  2.100000000000000e-13 
 2.200000000000000e-01  2.200000000000000e-01  2.000000000000000e-01  2.100000000000000e-13 
 2.400000000000000e-01  2.400000000000000e-01  2.000000000000000e-01  2.100000000000000e-13 
 2.600000000000000e-01  2.600000000000000e-01  2.000000000000000e-01  2.100000000000000e-13 
 2.800000000000000e-01  2.800000000000000e-01  2.000000000000000e-01  2.100000000000000e-13 
 3.000000000000000e-01  3.000000000000000e-01  2.000000000000000e-01  2.100000000000000e-13 
 3.200000000000000e-01  3.200000000000000e-01  2.000000000000000e-01  2.100000000000000e-13 
 3.400000000000000e-01  3.400000000000000e-01  2.000000000000000e-01  2.100000000000000e-13 
 3.600000000000000e-01  3.600000000000000e-01  2.000000000000000e-01  2.100000000000000e-13 
 3.800000000000001e-01  3.800000000000001e-01  2.000000000000000e-01  2.100000000000000e-13 
 4.000000000000001e-01  4.000000000000001e-01  2.000000000000000e-01  2.100000000000000e-13 
 4.200000000000001e-01  4.200000000000001e-01  2.000000000000000e-01  2.100000000000000e-13 
 4.400000000000001e-01  4.400000000000001e-01  2.000000000000000e-01  2.100000000000000e-13 
 4.600000000000001e-01  4.600000000000001e-01  2.000000000000000e-01  2.100000000000000e-13 
 4.800000000000001e-01  4.800000000000001e-01  2.000000000000000e-01  2.100000000000000e-13 
 5.000000000000001e-01  5.000000000000001e-01  2.000000000000000e-01  2.100000000000000e-13 
 5.200000000000001e-01  5.200000000000001e-01  2.000000000000000e-01  2.100000000000000e-13 
 5.400000000000001e-01  5.400000000000001e-01  2.000000000000000e-01  2.100000000000000e-13 
 5.600000000000002e-01  5.600000000000002e-01  2.000000000000000e-01  2.100000000000000e-13 
 5.800000000000002e-01  5.800000000000002e-01  2.000000000000000e-01  2.100000000000000e-13 
 6.000000000000002e-01  6.000000000000002e-01  2.000000000000000e-01  2.100000000000000e-13 
 6.200000000000002e-01  6.200000000000002e-01  2.000000000000000e-01  2.100000000000000e-13 
 6.400000000000002e-01  6.400000000000002e-01  2.000000000000000e-01  2.100000000000000e-13 
 6.600000000000003e-01  6.600000000000003e-01  2.000000000000000e-01  2.100000000000000e-13 
 6.800000000000003e-01  6.800000000000003e-01  2.000000000000000e-01  2.100000000000000e-13 
 7.000000000000003e-01  7.000000000000003e-01  2.000000000000000e-01  2.100000000000000e-13 
 7.200000000000003e-01  7.200000000000003e-01  2.000000000000000e-01  2.100000000000000e-13 
 7.400000000000003e-01  7.400000000000003e-01  2.000000000000000e-01  2.100000000000000e-13 
 7.600000000000003e-01  7.600000000000003e-01  2.000000000000000e-01  2.100000000000000e-13 
 7.800000000000004e-01  7.800000000000004e-01  2.000000000000000e-01  2.100000000000000e-13 
 8.000000000000004e-01  8.000000000000004e-01  2.000000000000000e-01  2.100000000000000e-13 
 8.200000000000004e-01  8.200000000000004e-01  2.000000000000000e-01  2.100000000000000e-13 
 8.400000000000004e-01  8.400000000000004e-01  2.000000000000000e-01  2.100000000000000e-13 
 8.600000000000004e-01  8.600000000000004e-01  2.000000000000000e-01  2.100000000000000e-13 
 8.800000000000004e-01  8.800000000000004e-01  2.000000000000000e-01  2.100000000000000e-13 
 9.000000000000005e-01  9.000000000000005e-01  2.000000000000000e-01  2.100000000000000e-13 
 9.200000000000005e-01  9.200000000000005e-01  2.000000000000000e-01  2.100000000000000e-13 
 9.400000000000005e-01  9.400000000000005e-01  2.000000000000000e-01  2.100000000000000e-13 
 9.600000000000005e-01  9.600000000000005e-01  2.000000000000000e-01  2.100000000000000e-13 
 9.800000000000005e-01  9.800000000000005e-01  2.000000000000000e-01  2.100000000000000e-13 
 1.000000000000000e+00  1.000000000000000e+00  2.000000000000000e-01  2.100000000000000e-13 
 1.020000000000000e+00  1.020000000000000e+00  2.000000000000000e-01  2.100000000000000e-13 
 1.040000000000000e+00  1.040000000000000e+00  2.000000000000000e-01  2.100000000000000e-13 
 1.060000000000000e+00  1.060000000000000e+00  2.000000000000000e-01  2.100000000000000e-13 
 1.080000000000001e+00  1.080000000000001e+00  2.000000000000000e-01  2.100000000000000e-13 
 1.100000000000001e+00  1.100000000000001e+00  2.000000000000000e-01  2.100000000000000e-13 
 1.120000000000001e+00  1.120000000000001e+00  2.000000000000000e-01  2.100000000000000e-13 
 1.140000000000001e+00  1.140000000000001e+00  2.000000000000000e-01  2.100000000000000e-13 
 1.160000000000001e+00  1.160000000000001e+00  2.000000000000000e-01  2.100000000000000e-13 
 1.180000000000001e+00  1.180000000000001e+00  2.000000000000000e-01  2.100000000000000e-13 
 1.200000000000001e+00  1.200000000000001e+00  2.000000000000000e-01  2.100000000000000e-13 
 1.220000000000001e+00  1.220000000000001e+00  2.000000000000000e-01  4.016002100000197e-07 
