 v-sweep                v(g)                   v(d)                   idrain                
 0.000000000000000e+00  2.500000000000000e+00  0.000000000000000e+00 -0.000000000000000e+00 
 2.500000000000000e-02  2.500000000000000e+00  2.500000000000000e-02  6.440718753119611e-05 
 5.000000000000000e-02  2.500000000000000e+00  5.000000000000000e-02  1.276275000585530e-04 
 7.500000000000001e-02  2.500000000000000e+00  7.500000000000001e-02  1.896590625844496e-04 
 1.000000000000000e-01  2.500000000000000e+00  1.000000000000000e-01  2.505000001100000e-04 
 1.250000000000000e-01  2.500000000000000e+00  1.250000000000000e-01  3.101484376349999e-04 
 1.500000000000000e-01  2.500000000000000e+00  1.500000000000000e-01  3.686025001599999e-04 
 1.750000000000000e-01  2.500000000000000e+00  1.750000000000000e-01  4.258603126850000e-04 
 2.000000000000000e-01  2.500000000000000e+00  2.000000000000000e-01  4.819200002100000e-04 
 2.250000000000000e-01  2.500000000000000e+00  2.250000000000000e-01  5.367796877349999e-04 
 2.500000000000000e-01  2.500000000000000e+00  2.500000000000000e-01  5.904375002599997e-04 
 2.750000000000000e-01  2.500000000000000e+00  2.750000000000000e-01  6.428915627849997e-04 
 3.000000000000000e-01  2.500000000000000e+00  3.000000000000000e-01  6.941400003100000e-04 
 3.250000000000000e-01  2.500000000000000e+00  3.250000000000000e-01  7.441809378350000e-04 
 3.500000000000000e-01  2.500000000000000e+00  3.500000000000000e-01  7.930125003599997e-04 
 3.750000000000001e-01  2.500000000000000e+00  3.750000000000001e-01  8.406328128850002e-04 
 4.000000000000001e-01  2.500000000000000e+00  4.000000000000001e-01  8.870400004100001e-04 
 4.250000000000001e-01  2.500000000000000e+00  4.250000000000001e-01  9.322321879349999e-04 
 4.500000000000001e-01  2.500000000000000e+00  4.500000000000001e-01  9.762075004599996e-04 
 4.750000000000001e-01  2.500000000000000e+00  4.750000000000001e-01  1.018964062985000e-03 
 5.000000000000001e-01  2.500000000000000e+00  5.000000000000001e-01  1.060500000510000e-03 
 5.250000000000001e-01  2.500000000000000e+00  5.250000000000001e-01  1.100813438035000e-03 
 5.500000000000002e-01  2.500000000000000e+00  5.500000000000002e-01  1.139902500560000e-03 
 5.750000000000002e-01  2.500000000000000e+00  5.750000000000002e-01  1.177765313085000e-03 
 6.000000000000002e-01  2.500000000000000e+00  6.000000000000002e-01  1.214400000610000e-03 
 6.250000000000002e-01  2.500000000000000e+00  6.250000000000002e-01  1.249804688135000e-03 
 6.500000000000002e-01  2.500000000000000e+00  6.500000000000002e-01  1.283977500660000e-03 
 6.750000000000003e-01  2.500000000000000e+00  6.750000000000003e-01  1.316916563185000e-03 
 7.000000000000003e-01  2.500000000000000e+00  7.000000000000003e-01  1.348620000710000e-03 
 7.250000000000003e-01  2.500000000000000e+00  7.250000000000003e-01  1.379085938235000e-03 
 7.500000000000003e-01  2.500000000000000e+00  7.500000000000003e-01  1.408312500760000e-03 
 7.750000000000004e-01  2.500000000000000e+00  7.750000000000004e-01  1.436297813285000e-03 
 8.000000000000004e-01  2.500000000000000e+00  8.000000000000004e-01  1.463040000810000e-03 
 8.250000000000004e-01  2.500000000000000e+00  8.250000000000004e-01  1.488537188335000e-03 
 8.500000000000004e-01  2.500000000000000e+00  8.500000000000004e-01  1.512787500860000e-03 
 8.750000000000004e-01  2.500000000000000e+00  8.750000000000004e-01  1.535789063385000e-03 
 9.000000000000005e-01  2.500000000000000e+00  9.000000000000005e-01  1.557540000910000e-03 
 9.250000000000005e-01  2.500000000000000e+00  9.250000000000005e-01  1.578038438435000e-03 
 9.500000000000005e-01  2.500000000000000e+00  9.500000000000005e-01  1.597282500959999e-03 
 9.750000000000005e-01  2.500000000000000e+00  9.750000000000005e-01  1.615270313485000e-03 
 1.000000000000000e+00  2.500000000000000e+00  1.000000000000000e+00  1.632000001010000e-03 
 1.025000000000000e+00  2.500000000000000e+00  1.025000000000000e+00  1.647469688534999e-03 
 1.050000000000000e+00  2.500000000000000e+00  1.050000000000000e+00  1.661677501060000e-03 
 1.075000000000000e+00  2.500000000000000e+00  1.075000000000000e+00  1.674621563584999e-03 
 1.100000000000000e+00  2.500000000000000e+00  1.100000000000000e+00  1.686300001110000e-03 
 1.125000000000000e+00  2.500000000000000e+00  1.125000000000000e+00  1.696710938634999e-03 
 1.150000000000000e+00  2.500000000000000e+00  1.150000000000000e+00  1.705852501160000e-03 
 1.175000000000000e+00  2.500000000000000e+00  1.175000000000000e+00  1.713722813685000e-03 
 1.200000000000000e+00  2.500000000000000e+00  1.200000000000000e+00  1.720320001210000e-03 
 1.225000000000000e+00  2.500000000000000e+00  1.225000000000000e+00  1.725642188734999e-03 
 1.250000000000000e+00  2.500000000000000e+00  1.250000000000000e+00  1.729687501259999e-03 
 1.274999999999999e+00  2.500000000000000e+00  1.274999999999999e+00  1.732454063784999e-03 
 1.299999999999999e+00  2.500000000000000e+00  1.299999999999999e+00  1.733940001309999e-03 
 1.324999999999999e+00  2.500000000000000e+00  1.324999999999999e+00  1.734785001334999e-03 
 1.349999999999999e+00  2.500000000000000e+00  1.349999999999999e+00  1.735630001359999e-03 
 1.374999999999999e+00  2.500000000000000e+00  1.374999999999999e+00  1.736475001384999e-03 
 1.399999999999999e+00  2.500000000000000e+00  1.399999999999999e+00  1.737320001409999e-03 
 1.424999999999999e+00  2.500000000000000e+00  1.424999999999999e+00  1.738165001435000e-03 
 1.449999999999999e+00  2.500000000000000e+00  1.449999999999999e+00  1.739010001460000e-03 
 1.474999999999999e+00  2.500000000000000e+00  1.474999999999999e+00  1.739855001485000e-03 
 1.499999999999999e+00  2.500000000000000e+00  1.499999999999999e+00  1.740700001509999e-03 
 1.524999999999999e+00  2.500000000000000e+00  1.524999999999999e+00  1.741545001534999e-03 
 1.549999999999998e+00  2.500000000000000e+00  1.549999999999998e+00  1.742390001559999e-03 
 1.574999999999998e+00  2.500000000000000e+00  1.574999999999998e+00  1.743235001585000e-03 
 1.599999999999998e+00  2.500000000000000e+00  1.599999999999998e+00  1.744080001610000e-03 
 1.624999999999998e+00  2.500000000000000e+00  1.624999999999998e+00  1.744925001634999e-03 
 1.649999999999998e+00  2.500000000000000e+00  1.649999999999998e+00  1.745770001659999e-03 
 1.674999999999998e+00  2.500000000000000e+00  1.674999999999998e+00  1.746615001684999e-03 
 1.699999999999998e+00  2.500000000000000e+00  1.699999999999998e+00  1.747460001709999e-03 
 1.724999999999998e+00  2.500000000000000e+00  1.724999999999998e+00  1.748305001735000e-03 
 1.749999999999998e+00  2.500000000000000e+00  1.749999999999998e+00  1.749150001760000e-03 
 1.774999999999998e+00  2.500000000000000e+00  1.774999999999998e+00  1.749995001784999e-03 
 1.799999999999998e+00  2.500000000000000e+00  1.799999999999998e+00  1.750840001809999e-03 
 1.824999999999998e+00  2.500000000000000e+00  1.824999999999998e+00  1.751685001834999e-03 
 1.849999999999997e+00  2.500000000000000e+00  1.849999999999997e+00  1.752530001860000e-03 
 1.874999999999997e+00  2.500000000000000e+00  1.874999999999997e+00  1.753375001885000e-03 
 1.899999999999997e+00  2.500000000000000e+00  1.899999999999997e+00  1.754220001909999e-03 
 1.924999999999997e+00  2.500000000000000e+00  1.924999999999997e+00  1.755065001934999e-03 
 1.949999999999997e+00  2.500000000000000e+00  1.949999999999997e+00  1.755910001959999e-03 
 1.974999999999997e+00  2.500000000000000e+00  1.974999999999997e+00  1.756755001984999e-03 
 1.999999999999997e+00  2.500000000000000e+00  1.999999999999997e+00  1.757600002010000e-03 
 2.024999999999997e+00  2.500000000000000e+00  2.024999999999997e+00  1.758445002035000e-03 
 2.049999999999997e+00  2.500000000000000e+00  2.049999999999997e+00  1.759290002059999e-03 
 2.074999999999997e+00  2.500000000000000e+00  2.074999999999997e+00  1.760135002084999e-03 
 2.099999999999997e+00  2.500000000000000e+00  2.099999999999997e+00  1.760980002109999e-03 
 2.124999999999996e+00  2.500000000000000e+00  2.124999999999996e+00  1.761825002134999e-03 
 2.149999999999996e+00  2.500000000000000e+00  2.149999999999996e+00  1.762670002160000e-03 
 2.174999999999996e+00  2.500000000000000e+00  2.174999999999996e+00  1.763515002184999e-03 
 2.199999999999996e+00  2.500000000000000e+00  2.199999999999996e+00  1.764360002209999e-03 
 2.224999999999996e+00  2.500000000000000e+00  2.224999999999996e+00  1.765205002234999e-03 
 2.249999999999996e+00  2.500000000000000e+00  2.249999999999996e+00  1.766050002259999e-03 
 2.274999999999996e+00  2.500000000000000e+00  2.274999999999996e+00  1.766895002285000e-03 
 2.299999999999996e+00  2.500000000000000e+00  2.299999999999996e+00  1.767740002310000e-03 
 2.324999999999996e+00  2.500000000000000e+00  2.324999999999996e+00  1.768585002334999e-03 
 2.349999999999996e+00  2.500000000000000e+00  2.349999999999996e+00  1.769430002359998e-03 
 2.374999999999996e+00  2.500000000000000e+00  2.374999999999996e+00  1.770275002384999e-03 
 2.399999999999995e+00  2.500000000000000e+00  2.399999999999995e+00  1.771120002409999e-03 
 2.424999999999995e+00  2.500000000000000e+00  2.424999999999995e+00  1.771965002435000e-03 
 2.449999999999995e+00  2.500000000000000e+00  2.449999999999995e+00  1.772810002459999e-03 
 2.474999999999995e+00  2.500000000000000e+00  2.474999999999995e+00  1.773655002484999e-03 
 2.499999999999995e+00  2.500000000000000e+00  2.499999999999995e+00  1.774500002509999e-03 
 2.524999999999995e+00  2.500000000000000e+00  2.524999999999995e+00  1.775345002534999e-03 
 2.549999999999995e+00  2.500000000000000e+00  2.549999999999995e+00  1.776190002559999e-03 
 2.574999999999995e+00  2.500000000000000e+00  2.574999999999995e+00  1.777035002584999e-03 
 2.599999999999995e+00  2.500000000000000e+00  2.599999999999995e+00  1.777880002609999e-03 
 2.624999999999995e+00  2.500000000000000e+00  2.624999999999995e+00  1.778725002634998e-03 
 2.649999999999995e+00  2.500000000000000e+00  2.649999999999995e+00  1.779570002659999e-03 
 2.674999999999994e+00  2.500000000000000e+00  2.674999999999994e+00  1.780415002684999e-03 
 2.699999999999994e+00  2.500000000000000e+00  2.699999999999994e+00  1.781260002710000e-03 
 2.724999999999994e+00  2.500000000000000e+00  2.724999999999994e+00  1.782105002734999e-03 
 2.749999999999994e+00  2.500000000000000e+00  2.749999999999994e+00  1.782950002759999e-03 
 2.774999999999994e+00  2.500000000000000e+00  2.774999999999994e+00  1.783795002784999e-03 
 2.799999999999994e+00  2.500000000000000e+00  2.799999999999994e+00  1.784640002809998e-03 
 2.824999999999994e+00  2.500000000000000e+00  2.824999999999994e+00  1.785485002834999e-03 
 2.849999999999994e+00  2.500000000000000e+00  2.849999999999994e+00  1.786330002859999e-03 
 2.874999999999994e+00  2.500000000000000e+00  2.874999999999994e+00  1.787175002884999e-03 
 2.899999999999994e+00  2.500000000000000e+00  2.899999999999994e+00  1.788020002909999e-03 
 2.924999999999994e+00  2.500000000000000e+00  2.924999999999994e+00  1.788865002934999e-03 
 2.949999999999994e+00  2.500000000000000e+00  2.949999999999994e+00  1.789710002959998e-03 
 2.974999999999993e+00  2.500000000000000e+00  2.974999999999993e+00  1.790555002984999e-03 
 2.999999999999993e+00  2.500000000000000e+00  2.999999999999993e+00  1.791400003010000e-03 
